"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_names","TF","sex"
1.23060708809842e-128,2.44598066976249,0.989,0.213,1.95469629873552e-124,"Adh1",NA,NA
2.6416669387303e-117,2.06941859062665,0.798,0.026,4.19602376547921e-113,"Prr16",NA,NA
1.1049126681704e-108,2.073416069156,0.996,0.914,1.75504328212186e-104,"Rapgef4",NA,NA
3.45008209792309e-104,1.91254101869484,0.996,0.925,5.48011040434103e-100,"Dlg2",NA,NA
1.91432513689118e-103,1.87921563716567,0.952,0.279,3.04071404743794e-99,"Pde7a",NA,NA
8.74642052511587e-101,1.66760217730878,0.849,0.121,1.3892814362094e-96,"Pdzrn3",NA,NA
7.40757213882982e-90,1.49998219162268,0.996,0.928,1.17661875853173e-85,"Ptprd",NA,NA
3.23873869027313e-89,1.73450334714841,0.985,0.55,5.14441253562984e-85,"Prlr",NA,NA
6.29515320063413e-83,1.58290507645758,0.949,0.453,9.99922134388725e-79,"Psd3",NA,NA
2.85105347460375e-82,1.48199335353235,0.835,0.204,4.5286133390606e-78,"Sntb1",NA,NA
5.51029896600474e-82,2.93377599814116,0.562,0.002,8.75255887760192e-78,"Akr1d1",NA,NA
9.50700756295317e-78,1.41172551945408,0.952,0.472,1.51009308129948e-73,"A530020G20Rik",NA,NA
5.77190106308283e-77,1.18686729672417,0.544,0.006,9.16808764860076e-73,"Lama4",NA,NA
4.42139730711063e-74,1.37181343365706,1,0.96,7.02294748261453e-70,"Frmd5",NA,NA
4.4246689036544e-73,1.48463527087966,1,0.925,7.02814408656465e-69,"Hsd3b1",NA,NA
1.66932467853151e-67,1.69133041295998,0.794,0.222,2.65155531937944e-63,"Gabrg3",NA,NA
5.05999514895578e-67,1.18602677625595,0.93,0.473,8.03729629460136e-63,"Cdk8",NA,NA
1.68753110842728e-64,0.931363381667209,0.996,0.994,2.68047441262589e-60,"Rora","Rora",NA
9.25743586159746e-62,1.06222431177232,0.588,0.072,1.47045111225614e-57,"Xdh",NA,NA
1.22601066557547e-61,0.903510364625472,0.996,0.998,1.94739534120008e-57,"Plcb1",NA,NA
2.49792362325504e-58,1.09462121063219,1,0.987,3.9677018831783e-54,"Gramd1b",NA,NA
4.36434320694532e-58,0.984974686090758,0.985,0.877,6.93232274991195e-54,"Dock1",NA,NA
1.35859486008496e-56,0.791970577641292,0.434,0.011,2.15799207575895e-52,"C1qtnf7",NA,NA
1.62617980413528e-53,1.26568398424774,0.812,0.339,2.58302400088848e-49,"Gm49708",NA,NA
4.27511476635507e-53,0.756488991144552,0.445,0.024,6.7905922948784e-49,"Gm19689",NA,NA
2.88613321701106e-52,0.701895506630997,0.438,0.024,4.58433400190038e-48,"Fat4",NA,NA
1.50875574090826e-51,0.883326070729036,0.996,0.952,2.39650761885868e-47,"Nckap5",NA,NA
3.13704572460845e-48,0.677554204447904,0.456,0.042,4.98288342896806e-44,"Pkdcc",NA,NA
1.44249254407864e-47,1.08167405944722,0.779,0.328,2.29125515701452e-43,"Mapt",NA,NA
1.88664847249059e-47,1.12068466784257,0.857,0.477,2.99675243370406e-43,"Cyb5b",NA,NA
1.51149783654071e-46,0.559867088652201,0.408,0.026,2.40086316356127e-42,"Gm38405",NA,NA
2.89999786817653e-45,0.779842529961301,0.452,0.05,4.60635661381159e-41,"Gm31084",NA,NA
7.36786054892993e-45,1.01269157979957,0.805,0.36,1.17031096959203e-40,"Filip1",NA,NA
9.71777092156867e-45,0.752477323517205,0.518,0.09,1.54357073318197e-40,"AC106834.1",NA,NA
1.59360765329433e-44,1.04547243806476,0.79,0.31,2.53128639649272e-40,"Plpp3",NA,NA
1.2132710194041e-43,0.486184346242983,0.316,0,1.92715968722146e-39,"Elfn1",NA,NA
5.75589500043225e-42,0.607125452734867,0.386,0.029,9.14266361868658e-38,"Man1a",NA,NA
8.19092102756753e-42,0.718346555826504,0.544,0.119,1.30104589601883e-37,"Zfp933","Zfp933",NA
1.06229816024818e-41,1.14081201747147,0.875,0.578,1.68735439773822e-37,"Fam126a",NA,NA
2.50208958107406e-41,1.05720867720363,0.794,0.371,3.97431909057803e-37,"Mid1",NA,"Mid1"
3.85936377669004e-41,0.637812892057296,0.305,0.002,6.13021342289447e-37,"Cyp2f2",NA,NA
6.45254246397207e-41,0.689491693154319,0.386,0.031,1.02492184497732e-36,"Ror1",NA,NA
1.78991404807577e-40,1.08769170153732,0.735,0.338,2.84309947396355e-36,"Pde8b",NA,NA
2.37844839096911e-40,0.830975098145519,0.684,0.242,3.77792742421533e-36,"Dnajc15",NA,NA
5.22735236024852e-40,0.725636256889414,0.978,0.848,8.30312648901875e-36,"Rsrp1",NA,NA
6.367316807133e-40,0.943989543104658,0.868,0.506,1.01138460164501e-35,"Pakap",NA,NA
6.00238731812925e-39,0.960065185537401,0.658,0.237,9.53419201611649e-35,"Tmem178b",NA,NA
7.26955996530228e-39,0.803537563948983,0.974,0.705,1.15469690488861e-34,"Kcnn2",NA,NA
1.17116561783892e-37,0.83752892910708,0.555,0.136,1.86027946737535e-33,"Ackr3",NA,NA
1.2716063952609e-37,0.81577144369044,0.805,0.407,2.01981959823242e-33,"4930426D05Rik",NA,NA
1.67113967040553e-37,0.851116494759956,0.618,0.207,2.65443825247215e-33,"Mc2r",NA,NA
7.3489219291592e-37,0.681919237884209,0.467,0.088,1.16730275922765e-32,"Cdh2",NA,NA
7.71247460589627e-37,0.777489521185117,0.982,0.982,1.22504946640056e-32,"Cacna1c",NA,NA
2.32104100688605e-36,0.509805279681225,0.272,0.002,3.68674153533779e-32,"C3",NA,NA
2.4403829394115e-35,0.762351524880137,0.301,0.015,3.87630426096123e-31,"Egfem1",NA,NA
2.5865345076499e-35,0.452924257749335,0.265,0.002,4.10845141195111e-31,"Fmo1",NA,NA
2.86694060150671e-35,1.02499700993175,0.871,0.571,4.55384845143326e-31,"Thrb","Thrb",NA
3.64435797389427e-35,0.550660942962214,0.412,0.064,5.78869820573365e-31,"Gas6",NA,NA
5.20200987891298e-35,0.857399222530115,0.827,0.413,8.26287249166537e-31,"Dlc1",NA,NA
1.44531123267275e-34,0.536739749336557,0.309,0.018,2.2957323619774e-30,"Cd36",NA,NA
2.71296372227879e-34,1.13751832507714,0.673,0.273,4.30927157646762e-30,"Dab2","Dab2",NA
5.93466155920695e-34,0.783606810406946,0.629,0.233,9.42661642064432e-30,"Greb1l",NA,NA
1.67007279037412e-33,0.820058165135476,0.831,0.501,2.65274362023025e-29,"Limch1",NA,NA
4.01637687249534e-33,0.707418730560689,1,0.95,6.3796130242716e-29,"Cyp21a1",NA,NA
2.1606895610503e-32,0.544161823101708,0.36,0.048,3.43203929877229e-28,"Agxt2",NA,NA
3.82711129201803e-32,0.852463971988039,0.893,0.613,6.07898357624144e-28,"Pdgfd",NA,NA
1.0347885580063e-31,0.750364782766927,0.732,0.345,1.6436581455372e-27,"Rtn4",NA,NA
1.35920802964021e-31,0.673183773755265,0.982,0.851,2.15896603428051e-27,"Utrn",NA,NA
1.95369234745085e-31,0.502994390317299,0.412,0.077,3.10324492469093e-27,"Samd5",NA,NA
2.60474295257162e-31,0.570304476039988,0.39,0.068,4.13737370586476e-27,"Lipa",NA,NA
2.40681249929626e-30,0.691609799669323,0.504,0.141,3.82298097388218e-26,"Arrdc3",NA,NA
3.58555060148027e-30,0.696192892289027,0.654,0.27,5.69528857539127e-26,"Klhl14",NA,NA
7.06202326057463e-30,0.565144739009175,0.401,0.077,1.12173177470967e-25,"Tenm3",NA,NA
9.61360840245779e-30,0.550137373716443,0.485,0.13,1.5270255586464e-25,"Tmem53",NA,NA
1.19526375927499e-29,0.663543241116684,0.596,0.215,1.89855695523239e-25,"Etv1","Etv1",NA
3.14579417904036e-29,0.641021359706329,0.79,0.451,4.99677947398771e-25,"Snhg20",NA,NA
3.14836104261618e-29,0.747736014776546,0.982,0.881,5.00085668009154e-25,"Robo1",NA,NA
2.70227549280767e-28,0.494873224134665,1,0.994,4.29229439277569e-24,"Meis2","Meis2",NA
3.04868260111297e-28,0.389827273231802,0.232,0.007,4.84252744360785e-24,"Gm973",NA,NA
3.35481346305279e-28,0.85311052492038,0.441,0.11,5.32878570471305e-24,"Dab1",NA,NA
4.52661793977903e-28,0.83455210808389,0.89,0.629,7.19007993554502e-24,"Oxr1",NA,NA
