"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_names","TF","sex"
2.46886377563826e-80,-1.71294236495969,0.713,0.965,3.92154322122382e-76,"Me1",NA,NA
4.19057220465646e-80,-2.50607144721982,0.515,0.949,6.65630488987633e-76,"Pde10a",NA,NA
6.05548431126612e-76,-1.35528485033915,0.757,0.985,9.6185312800151e-72,"Sox5","Sox5",NA
3.50963679831919e-63,-1.42707145479561,0.371,0.886,5.57470709045021e-59,"Greb1",NA,NA
1.96105780560765e-57,-0.867214746133533,0.996,0.998,3.11494421842719e-53,"Mast4",NA,NA
1.34225410948678e-55,-1.16991820640319,0.636,0.93,2.1320364275088e-51,"St3gal5",NA,NA
3.50113185676132e-54,-1.22046836219396,0.037,0.622,5.56119784127968e-50,"Sema5b",NA,NA
6.57555572159148e-54,-0.957007328761595,0.989,0.994,1.04446127081759e-49,"Cyp11a1",NA,NA
3.85368022216289e-53,-1.45625095424611,0.504,0.879,6.12118566488354e-49,"Acvr1",NA,NA
2.90654499749676e-51,-1.38695345966778,0.099,0.653,4.61675607402386e-47,"Btg2",NA,NA
2.36159440626519e-50,-1.02728956171541,0.879,0.98,3.75115655491163e-46,"Fdx1",NA,NA
8.82707812589572e-49,-1.23247368893614,0.331,0.802,1.40209308951728e-44,"Optn",NA,NA
6.58733221468257e-48,-1.26696964320737,0.188,0.708,1.04633184898018e-43,"Slc25a30",NA,NA
2.24555662695412e-46,-1.21337644113849,0.305,0.787,3.56684214625392e-42,"Junb","Junb",NA
7.28545867937401e-46,-1.21810146658061,0.529,0.89,1.15722225663177e-41,"Efhd1",NA,NA
7.31120359599667e-46,-1.34392002227704,0.482,0.837,1.16131157918811e-41,"Trank1",NA,NA
1.90951686086549e-45,-0.831728517410201,0,0.508,3.03307658179874e-41,"Eif2s3y",NA,"Eif2s3y"
1.68366353712378e-44,-0.801985842290063,0.923,0.985,2.67433116236741e-40,"Msi2","Msi2",NA
1.87294656860884e-42,-1.04493988010431,0.184,0.664,2.97498832957827e-38,"Pgm3",NA,NA
2.83943466903261e-40,-1.05424806269898,0.662,0.932,4.5101580282914e-36,"Raph1",NA,NA
4.87498627162591e-40,-1.11694374747822,0.232,0.679,7.7434281938506e-36,"Mapre2",NA,NA
1.68723713782496e-37,-0.912973907671282,0.871,0.961,2.68000746972116e-33,"Abhd2",NA,NA
6.9595847917175e-37,-1.30179108974457,0.272,0.701,1.10546044831641e-32,"Nr4a2","Nr4a2",NA
1.31575677455378e-34,-0.99735042158605,0.066,0.506,2.08994806070122e-30,"Pde4d",NA,NA
2.02445286504432e-34,-1.06613832886888,0.544,0.853,3.2156409308364e-30,"Frmd6",NA,NA
1.68924367808099e-33,-0.8378066027986,0.713,0.908,2.68319465826384e-29,"Nr4a1","Nr4a1",NA
2.52320272962404e-33,-0.911806294314754,0.121,0.558,4.00785521573482e-29,"Ly6d",NA,NA
1.1290526103013e-32,-0.806135879250096,0.048,0.464,1.79338716620258e-28,"Fkbp5",NA,NA
5.41272929486153e-31,-0.691247293860371,0.055,0.459,8.59757921195806e-27,"2010007H06Rik",NA,NA
2.07840071201734e-30,-0.919628126161533,0.401,0.734,3.30133169096835e-26,"Fmnl2",NA,NA
3.49816158465829e-30,-0.84840535904795,0.051,0.444,5.55647986107123e-26,"Stard5",NA,NA
4.52823364993001e-30,-0.775381264163711,0.033,0.422,7.19264632954883e-26,"Zbtb16","Zbtb16",NA
5.85188255280932e-30,-0.799223278627239,0.434,0.787,9.29513024688232e-26,"Neo1",NA,NA
3.85662138347605e-28,-0.743147582715978,0.728,0.888,6.12585740551335e-24,"Cbx4",NA,NA
1.21690695298581e-27,-0.94124417659142,0.507,0.796,1.93293500412266e-23,"Magi2",NA,NA
1.22777558324089e-27,-0.732338366311814,0.062,0.435,1.95019873641983e-23,"Mpzl1",NA,NA
4.08051942239053e-27,-0.791391595638022,0.401,0.736,6.48149705052512e-23,"Gadd45b",NA,NA
2.54906253940381e-26,-0.752829313403584,0.636,0.851,4.04893093758902e-22,"Nfx1",NA,NA
3.94179276099671e-26,-0.837479084807661,0.051,0.4,6.26114362156718e-22,"Pak3",NA,"Pak3"
9.18994232838002e-26,-0.719283200794782,0.184,0.549,1.45973043943988e-21,"Pfkfb2",NA,NA
1.55352585604891e-25,-0.626290619367809,0.026,0.363,2.46762046974808e-21,"Kcnd3",NA,NA
2.92235558010768e-25,-1.20788220739296,0.415,0.723,4.64186960344303e-21,"Srd5a2",NA,NA
4.86191180633482e-25,-0.715374452098797,0.857,0.919,7.72266071318223e-21,"Diaph2",NA,"Diaph2"
4.99165818126195e-25,-0.546814241085821,0.048,0.394,7.92874985511648e-21,"Gm26885",NA,NA
5.11432757414305e-25,-0.682148189887002,0.761,0.912,8.12359791876881e-21,"Pard3b",NA,NA
5.64866473951561e-25,-0.616260254230545,0.066,0.418,8.9723390722466e-21,"Slc41a3",NA,NA
7.06856128588003e-25,-0.719075272117959,0.07,0.418,1.12277027464918e-20,"Adarb1","Adarb1",NA
7.17102684845358e-25,-0.721236188708267,0.018,0.343,1.13904590460837e-20,"Gm47015",NA,NA
1.0861440957156e-24,-0.733123212839424,0.257,0.609,1.72523128163465e-20,"Slc3a2",NA,NA
2.21643098437705e-24,-0.61316520190495,0.07,0.413,3.52057897558451e-20,"Ly6e",NA,NA
2.7572536717177e-24,-0.906964185128945,0.485,0.763,4.37962173215639e-20,"Tmem164",NA,"Tmem164"
3.21008757992092e-24,-1.24028110287722,0.004,0.314,5.0989031119464e-20,"Aldh1a1",NA,NA
5.15790811936213e-24,-1.10523249095136,0.68,0.837,8.1928212567948e-20,"Akr1b7",NA,NA
2.47536278295318e-23,-0.551832315852445,0.055,0.382,3.93186624444283e-19,"Mmd2",NA,NA
6.64940826922563e-23,-0.453415189124949,0.004,0.297,1.0561920094838e-18,"Kdm5d","Kdm5d","Kdm5d"
