"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_names","TF","sex"
3.35869450838443e-116,1.22524310950414,0.997,0.944,5.33495035711782e-112,"Rapgef4",NA,NA
6.36187859256576e-111,1.73005236637557,0.762,0.242,1.01052079564314e-106,"Adh1",NA,NA
6.71090395260155e-106,-1.56053380217204,0.629,0.903,1.06595998383123e-101,"Me1",NA,NA
3.52551731184372e-96,0.956067538036471,0.998,0.953,5.59993169813257e-92,"Ptprd",NA,NA
2.61161071379718e-89,-1.30521261104084,0.21,0.709,4.14828245779544e-85,"Junb","Junb",NA
2.77577394985533e-87,0.804070991374927,0.434,0.016,4.40903934195021e-83,"C1qtnf7",NA,NA
2.10739704536662e-86,1.34677669944331,0.954,0.916,3.34738946686035e-82,"Dlg2",NA,NA
1.11492517455953e-85,-0.96651865314016,0.982,0.999,1.77094714727036e-81,"Mast4",NA,NA
5.02829332124681e-85,1.30189467043455,0.754,0.326,7.98694111146844e-81,"Pde7a",NA,NA
9.50799179316045e-81,-1.18201640733508,0.262,0.712,1.51024941642561e-76,"Optn",NA,NA
1.44970573823279e-80,-1.01613913063726,0.03,0.498,2.30271259460896e-76,"Sema5b",NA,NA
3.77123746028513e-78,-1.54203341607702,0.652,0.928,5.9902335819169e-74,"Pde10a",NA,NA
1.20570729624845e-76,-1.03928119853177,0.81,0.952,1.91514546936104e-72,"Fdx1",NA,NA
1.70944389733563e-75,-0.72415363481475,0.028,0.477,2.71528068652791e-71,"Eif2s3y",NA,"Eif2s3y"
1.52186379772793e-74,1.06999455647631,0.917,0.647,2.41732845631105e-70,"Prlr",NA,NA
1.74549028242214e-74,-1.16893271822026,0.525,0.867,2.77253676459932e-70,"Raph1",NA,NA
1.99163675559846e-73,1.24015576844861,0.518,0.096,3.16351582259259e-69,"Prr16",NA,NA
7.80056448582418e-72,-1.10207976851089,0.127,0.574,1.23904166292831e-67,"Slc25a30",NA,NA
6.54240150002982e-71,-0.958541793610351,0.564,0.874,1.03919505426474e-66,"Nr4a1","Nr4a1",NA
9.74259198267428e-71,-1.28370467509834,0.238,0.669,1.54751331052798e-66,"Nr4a2","Nr4a2",NA
1.13746500106122e-70,-0.904548580054696,0.68,0.918,1.80674940768564e-66,"St3gal5",NA,NA
2.81655422543707e-70,-1.11704568165547,0.658,0.904,4.47381473168424e-66,"Abhd2",NA,NA
8.14742487286025e-70,-0.834997502323166,0.84,0.969,1.29413696680512e-65,"Sox5","Sox5",NA
9.1046914974638e-70,0.721038678680947,0.992,0.988,1.44618919745715e-65,"Cacna1c",NA,NA
7.7640253104804e-69,1.01769324883725,0.677,0.237,1.23323778031671e-64,"Pdzrn3",NA,NA
5.84480384389608e-68,-1.18633725516074,0.526,0.819,9.28388642564453e-64,"Acvr1",NA,NA
9.23770329237068e-68,1.05581767445333,0.985,0.934,1.46731679096016e-63,"Hsd3b1",NA,NA
4.64816293588048e-67,-1.1015192219399,0.541,0.832,7.38314200735256e-63,"Trank1",NA,NA
2.53532060783213e-65,1.02556868399609,0.799,0.457,4.02710325348056e-61,"Psd3",NA,NA
3.43312574707056e-65,0.867130387423245,0.769,0.351,5.45317693664688e-61,"Sntb1",NA,NA
1.9885738887566e-64,2.02777018269561,0.309,0.002,3.15865076490099e-60,"Akr1d1",NA,NA
1.77013841234065e-62,-0.975465550223598,0.632,0.882,2.8116878541619e-58,"Efhd1",NA,NA
6.16912323595845e-61,-1.06576833979567,0.183,0.579,9.7990353479964e-57,"Btg2",NA,NA
1.55128006444155e-60,-0.86601253078143,0.988,0.994,2.46405325435896e-56,"Cyp11a1",NA,NA
2.18989057551796e-57,-0.846049622245467,0.568,0.848,3.47842219015272e-53,"Cbx4",NA,NA
8.21764236469382e-57,0.578570866744611,0.997,0.999,1.30529031320797e-52,"Plcb1",NA,NA
4.19900531218362e-56,-0.878506108010767,0.135,0.514,6.66970003787246e-52,"Pgm3",NA,NA
9.32473993381964e-54,-0.948347828778535,0.2,0.565,1.48114169108791e-49,"Mapre2",NA,NA
1.01956646461967e-53,0.684093850375486,0.269,0.005,1.61947937240189e-49,"Lama4",NA,NA
2.82882399212244e-53,-1.3698656173829,0.464,0.764,4.49330402908728e-49,"Akr1b7",NA,NA
2.87807631280997e-53,-0.869329341139075,0.436,0.769,4.57153641526736e-49,"Coq10b",NA,NA
2.74651943244998e-52,-0.852636491412226,0.252,0.625,4.36257146650355e-48,"Gadd45b",NA,NA
7.51685740671755e-50,0.854200522878998,0.794,0.465,1.19397763048302e-45,"Mid1",NA,"Mid1"
1.01613420278844e-49,0.634927298838602,0.474,0.133,1.61402756770916e-45,"AC106834.1",NA,NA
1.96668504325548e-49,0.72032062926241,0.822,0.525,3.123882522707e-45,"Cdk8",NA,NA
3.14991461080207e-49,0.563255306128439,0.479,0.134,5.003324367798e-45,"Zfp933","Zfp933",NA
6.47458362073196e-49,0.701643877007361,0.65,0.3,1.02842286231707e-44,"Mc2r",NA,NA
8.24612317286691e-48,-0.601983051004965,0.086,0.43,1.30981420477818e-43,"2010007H06Rik",NA,NA
3.17296931543942e-47,-0.911239187415245,0.536,0.794,5.03994446064397e-43,"Frmd6",NA,NA
6.19110261725809e-46,-0.69287054092372,0.033,0.343,9.83394739725274e-42,"Stard5",NA,NA
1.97095647318226e-45,0.755497092528383,0.84,0.58,3.1306672620027e-41,"Cyb5b",NA,NA
4.86425195010742e-45,0.672985686342674,0.856,0.6,7.72637779755062e-41,"Limch1",NA,NA
7.69783223898882e-45,0.95537324010356,0.827,0.498,1.22272367284098e-40,"Dab2","Dab2",NA
8.14057699774428e-45,0.738201379029314,0.596,0.252,1.2930492503217e-40,"Timp3",NA,NA
1.68995712140021e-44,-0.696527137731513,0.954,0.987,2.6843278916321e-40,"Star",NA,NA
3.00595196295605e-44,0.822460746822525,0.919,0.729,4.77465409795939e-40,"Oxr1",NA,NA
4.74225164937551e-44,-0.637878006968947,0.025,0.318,7.53259251986806e-40,"Gm47015",NA,NA
1.97918475228188e-43,0.529387463239291,1,0.984,3.14373706052454e-39,"Cacna2d1",NA,NA
1.07730743650938e-42,0.83939056826889,0.67,0.344,1.71119513215149e-38,"Pip5k1b",NA,NA
1.46332263637224e-42,-0.827147659590017,0.835,0.952,2.32434167561367e-38,"Scarb1",NA,NA
3.00094251160658e-42,0.756922706410777,0.875,0.661,4.76669708543589e-38,"Cttnbp2",NA,NA
5.34678544931486e-42,0.719162093846498,0.752,0.442,8.49283400769173e-38,"Filip1",NA,NA
6.43081480680902e-42,0.536346636616408,0.307,0.046,1.02147062391354e-37,"Ror1",NA,NA
7.60144818106548e-42,1.07812234948419,0.536,0.225,1.20741402908044e-37,"Gabrg3",NA,NA
1.19899499748725e-41,-0.607255646310395,0.139,0.469,1.90448365400875e-37,"Ly6e",NA,NA
