"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_names","TF","sex"
1.27471766881991e-43,3.88845334735184,0.929,0,2.02476154515354e-39,"Akr1d1",NA,NA
2.48744677819007e-42,2.48806670904295,1,0.246,3.95106046247711e-38,"Adh1",NA,NA
1.20219081379384e-40,2.33717260043342,0.992,0.857,1.90955988863014e-36,"Rapgef4",NA,NA
4.58682205913469e-40,2.4265026857723,0.921,0.048,7.28570815872954e-36,"Prr16",NA,NA
1.37582428161249e-38,2.17557156458345,0.992,0.429,2.18535928891328e-34,"Prlr",NA,NA
3.08367171606113e-38,2.07389811366854,0.976,0.31,4.8981041537915e-34,"Psd3",NA,NA
7.89453018849995e-38,2.01627951496747,0.992,0.929,1.25396717514133e-33,"Dlg2",NA,NA
1.38100963964996e-37,1.76808811166199,1,0.952,2.19359571162e-33,"Gramd1b",NA,NA
1.34195916873465e-35,1.60932704912036,0.825,0.008,2.13156794361812e-31,"Lama4",NA,NA
5.93119049874563e-34,1.68295229141225,0.944,0.23,9.42110298820756e-30,"Pde7a",NA,NA
1.51877367781127e-33,1.57548663715811,1,0.937,2.41242010983542e-29,"Frmd5",NA,NA
1.89094245429904e-33,1.83617084170333,0.992,0.833,3.00357299440859e-29,"Ptprd",NA,NA
1.41616505427274e-32,1.40563880127659,0.992,0.992,2.24943657220683e-28,"Plcb1",NA,NA
5.90760038326908e-32,1.28925118251994,0.992,0.992,9.3836324487846e-28,"Rora","Rora",NA
8.11388259701863e-32,1.65283461361361,0.913,0.278,1.28880911171044e-27,"Pde8b",NA,NA
1.77073032276226e-30,1.58231777946559,0.921,0.325,2.81262804467557e-26,"A530020G20Rik",NA,NA
7.2938794150251e-28,1.50200971136585,0.865,0.262,1.15855980628259e-23,"Mapt",NA,NA
7.44410118878671e-28,1.38014270883266,0.992,0.889,1.18242103282688e-23,"Nckap5",NA,NA
8.59200070094728e-28,1.33683980429129,0.833,0.167,1.36475339133847e-23,"Xdh",NA,NA
5.49932499873941e-27,1.79290376576006,0.897,0.27,8.73512782799767e-23,"Gabrg3",NA,NA
6.00018341053338e-27,1.30852316647578,0.976,0.794,9.53069132929122e-23,"Dock1",NA,NA
9.63222046799304e-25,1.43162771795017,0.944,0.556,1.52998189913602e-20,"Fam126a",NA,NA
1.27013322645446e-24,1.2149237504326,0.952,0.5,2.01747961690027e-20,"Kcnn2",NA,NA
1.78079455344872e-24,1.27130202181739,0.944,0.516,2.82861406869795e-20,"Pakap",NA,NA
3.0621983287628e-24,1.34627795630311,0.849,0.302,4.86399582540683e-20,"Sntb1",NA,NA
4.36565806850504e-24,1.13832815654797,0.833,0.206,6.93441127601341e-20,"4930426D05Rik",NA,NA
9.57692517315832e-23,0.913585248182527,0.603,0.024,1.52119879450447e-18,"Man1a",NA,NA
2.17620190358222e-22,1.42900367844285,0.96,0.579,3.45667910365e-18,"Thrb","Thrb",NA
3.09293941430455e-22,1.20387233336565,0.817,0.23,4.91282496568134e-18,"Tmem178b",NA,NA
1.26987610547272e-20,1.31443355834044,0.849,0.302,2.01707120593287e-16,"Gm49708",NA,NA
3.16150125581199e-20,1.08102100912155,1,0.873,5.02172859473176e-16,"Cyp21a1",NA,NA
4.84467322994663e-20,0.743819265207269,0.508,0,7.69527895844723e-16,"Gm38405",NA,NA
1.31771692944501e-19,1.07143513804295,0.865,0.365,2.09306157073045e-15,"Filip1",NA,NA
1.92536215172499e-19,1.12840573200405,0.81,0.254,3.05824524179997e-15,"Pdzrn3",NA,NA
2.03825302666217e-19,1.1677668932749,0.873,0.405,3.2375611075502e-15,"Cyb5b",NA,NA
4.57271410844508e-19,1.06413033741972,0.556,0.04,7.26329908985416e-15,"Cd1d1",NA,NA
7.44524191101133e-19,0.993925485590315,0.984,0.841,1.18260222514504e-14,"Robo1",NA,NA
9.05107009789419e-19,0.804921818254443,1,0.937,1.43767197434951e-14,"Cacna2d1",NA,NA
1.15687821639677e-18,1.0615214088238,1,0.921,1.83758535892462e-14,"Pcsk5",NA,NA
1.48679790395149e-18,0.70220017600553,0.476,0,2.36162979063655e-14,"Elfn1",NA,NA
1.56463263538951e-18,1.1129848604745,1,0.929,2.48526247805269e-14,"Hsd3b1",NA,NA
2.3303279927577e-18,0.863580801773405,0.548,0.04,3.70149298369633e-14,"Gm19689",NA,NA
2.42379616866489e-18,0.96842992099913,0.897,0.556,3.84995783430731e-14,"Cdk8",NA,NA
4.68122291631047e-18,0.88359050788469,0.508,0.024,7.43565448026755e-14,"C1qtnf7",NA,NA
6.8421815680644e-18,0.84799690655495,0.675,0.143,1.08681212027135e-13,"Acadsb",NA,NA
9.62222935228474e-18,1.17134288366051,0.881,0.389,1.52839491031691e-13,"Plpp3",NA,NA
1.15841839571306e-17,0.898120385980786,0.69,0.151,1.84003177975062e-13,"Klhl14",NA,NA
1.42874286811148e-17,0.786755960877737,0.516,0.032,2.26941517170827e-13,"Agxt2",NA,NA
1.57878475404188e-17,0.922972431697312,0.992,0.833,2.50774170332013e-13,"Igf1r",NA,NA
2.07446838631847e-17,0.830074998557688,0.452,0,3.29508558482826e-13,"C3",NA,NA
2.12401702792031e-17,0.76296080269915,0.532,0.048,3.37378864714861e-13,"Gas6",NA,NA
2.64226491967241e-17,0.97602113706556,0.976,0.762,4.19697359840766e-13,"Pakap.1",NA,NA
2.83924065662175e-17,0.955052593946025,0.722,0.23,4.50984985897799e-13,"Aifm2",NA,NA
3.47719237702062e-17,1.00489879941284,0.627,0.127,5.52317237165956e-13,"Arrdc3",NA,NA
4.92744332678515e-17,0.965234581839323,0.444,0,7.82675098026554e-13,"Cyp2f2",NA,NA
6.14280608245525e-17,1.01482741767764,0.873,0.524,9.75723318137192e-13,"Mob4",NA,NA
6.79911028079335e-17,0.98299357469431,0.468,0.016,1.07997067700122e-12,"Gm31084",NA,NA
8.92191412310492e-17,1.19027027075449,0.889,0.484,1.41715683931398e-12,"Oxr1",NA,NA
1.68586059237883e-16,0.643856189774725,0.46,0.016,2.67782096493453e-12,"Samd5",NA,NA
1.93696098124015e-16,0.69079541273328,0.444,0.008,3.07666882260185e-12,"Fmo1",NA,NA
3.01314253411002e-16,0.935019968792316,0.802,0.302,4.78607560118036e-12,"Dlc1",NA,NA
3.33381063479625e-16,0.795005120220243,0.992,0.873,5.29542481231037e-12,"Rsrp1",NA,NA
5.1851431663737e-16,0.872840977532429,0.96,0.714,8.23608140546799e-12,"Ar","Ar","Ar"
7.51912185236058e-16,0.619319317828548,1,0.992,1.19433731502895e-11,"Meis2","Meis2",NA
1.81307328370021e-15,1.23786383009889,0.825,0.46,2.87988560382942e-11,"Ahcyl2",NA,NA
4.38195904567131e-15,1.07740450368561,0.413,0.008,6.96030374814431e-11,"Egfem1",NA,NA
6.76049258801583e-15,0.780990218058204,0.571,0.119,1.07383664268043e-10,"AC106834.1",NA,NA
1.01580286181122e-14,0.687676187169735,0.46,0.04,1.61350126570093e-10,"Fat4",NA,NA
1.32850807462101e-14,0.678071905112638,0.444,0.032,2.11020222572801e-10,"Pkdcc",NA,NA
1.95647148310047e-14,0.829559658298274,0.73,0.278,3.10765930375679e-10,"Sec24d",NA,NA
3.19193874855513e-14,0.763825054232149,0.595,0.135,5.07007550820496e-10,"Mc2r",NA,NA
5.41489711789639e-14,0.696383783389579,0.492,0.063,8.60102258206662e-10,"Cdh2",NA,NA
7.02309328937843e-14,0.901967917039473,0.5,0.079,1.11554813808487e-09,"Slc25a17",NA,NA
9.0364628977448e-14,0.907487861210462,0.651,0.206,1.43535176667778e-09,"Gpam","Gpam",NA
1.98313771014358e-13,0.797243606090315,0.865,0.5,3.15001593879206e-09,"Sptlc2",NA,NA
3.93342922983223e-13,0.656413023982865,0.603,0.167,6.24785898866551e-09,"Spcs2",NA,NA
4.57539126353595e-13,0.816926294511393,0.976,0.889,7.2675514830005e-09,"Cyp11b1",NA,NA
6.46126652013757e-13,0.83650126771712,0.77,0.397,1.02630757405865e-08,"Phldb2",NA,NA
7.7111457335099e-13,0.835464227988109,0.659,0.238,1.22483838831071e-08,"Dnajc15",NA,NA
8.27993693492939e-13,0.56961453638772,0.341,0,1.31518518274418e-08,"Gm973",NA,NA
8.98355404634104e-13,0.611075341040288,0.571,0.151,1.42694772472081e-08,"Sipa1l2",NA,NA
1.19337710444261e-12,0.789433014060342,0.635,0.222,1.89556019269664e-08,"Polk",NA,NA
2.26204503577164e-12,0.679332451318555,0.516,0.111,3.59303233481968e-08,"Zfp933","Zfp933",NA
2.68906597305642e-12,0.721898146077264,0.587,0.159,4.27131239160282e-08,"Etv1","Etv1",NA
3.31212372992974e-12,0.716927840929661,0.714,0.333,5.26097733262039e-08,"Nrbp2",NA,NA
4.99306567864944e-12,0.793549122532573,0.556,0.159,7.93098552396678e-08,"Mtss1",NA,NA
5.03229950325788e-12,0.680658153264252,0.841,0.5,7.99330453097481e-08,"Snhg20",NA,NA
7.00369130890363e-12,0.67275810521617,0.667,0.238,1.11246632750625e-07,"Rims4",NA,NA
1.11958629861185e-11,0.649243252053419,0.968,0.786,1.77835087671506e-07,"Zeb2","Zeb2",NA
1.13523494182043e-11,0.635629926569082,0.984,0.897,1.80320718158757e-07,"Utrn",NA,NA
1.21605293280198e-11,0.689493084192463,0.667,0.246,1.93157847846266e-07,"Grb10",NA,NA
1.43918550873014e-11,0.644833956698555,0.754,0.286,2.28600226206696e-07,"Ackr3",NA,NA
1.75280452919033e-11,0.621031755428678,0.595,0.183,2.78415471416591e-07,"Golim4",NA,NA
2.10295597137903e-11,0.822504116637875,0.754,0.405,3.34033526493846e-07,"Limch1",NA,NA
3.24471537202731e-11,0.643856189774725,0.333,0.016,5.15390589692817e-07,"Cdkn1c",NA,NA
3.61886994244217e-11,0.665209754175588,0.667,0.262,5.74821301657514e-07,"Cdv3",NA,NA
3.86880208642071e-11,0.7501334669004,0.937,0.762,6.14520523407066e-07,"Pdgfd",NA,NA
4.09619155628209e-11,0.703018262242868,0.667,0.294,6.50639066799847e-07,"Arhgap10",NA,NA
4.33156061319183e-11,0.602929047250605,0.389,0.048,6.8802508779939e-07,"Lipa",NA,NA
5.1872466348802e-11,0.643306486951961,0.96,0.857,8.2394225548437e-07,"Ogt",NA,"Ogt"
6.31119162394675e-11,0.768184324776926,0.881,0.556,1.0024696775477e-06,"Tead1","Tead1",NA
1.12043701069389e-10,0.482151695137381,0.286,0,1.77970214778617e-06,"Me3",NA,NA
1.13841207554759e-10,0.715826827108056,0.635,0.262,1.80825374079979e-06,"Chuk",NA,NA
1.17721876468279e-10,0.605721060887953,0.413,0.063,1.86989428582215e-06,"Tenm3",NA,NA
1.69490795752264e-10,0.740240726199067,0.643,0.294,2.69219179972896e-06,"Greb1l",NA,NA
2.15689505661637e-10,0.448984831202182,0.278,0,3.42601210792944e-06,"Synpo2",NA,NA
4.2507318896235e-10,0.671839951401123,0.492,0.143,6.75186253347797e-06,"Ampd2",NA,NA
4.48486091032624e-10,0.555061015007294,0.333,0.032,7.1237530699622e-06,"Gm20125",NA,NA
4.7254355020681e-10,0.543142325026529,0.429,0.087,7.50588175148496e-06,"Sdc2",NA,NA
5.03162973711639e-10,0.532495080827021,0.651,0.262,7.99224067443568e-06,"Eea1",NA,NA
5.15770868906627e-10,0.512554005193106,0.476,0.119,8.19250448171286e-06,"Rgl3",NA,NA
6.02658860516031e-10,0.595933618542159,0.333,0.032,9.57263334043664e-06,"Cd36",NA,NA
6.42295966342171e-10,0.91962658353598,0.69,0.373,1.0202229129379e-05,"Mid1",NA,"Mid1"
7.25403933240752e-10,0.509013647487858,0.317,0.024,1.15223160755961e-05,"Epb41l3",NA,NA
7.45764796875697e-10,0.627273305579121,0.817,0.444,1.18457280335736e-05,"Arhgap26",NA,NA
7.60980157177788e-10,0.971430847803229,0.532,0.183,1.2087408816612e-05,"Timp3",NA,NA
1.19246017649928e-09,0.826780420645254,0.357,0.048,1.89410374435146e-05,"Dab1",NA,NA
1.47513434494451e-09,0.655845986877666,0.865,0.563,2.34310339350985e-05,"Kifc3",NA,NA
1.4853236732304e-09,0.750576025684859,0.714,0.317,2.35928812255917e-05,"Abtb2",NA,NA
1.5850954481304e-09,0.38965218085893,0.294,0.016,2.51776560981032e-05,"Xrra1",NA,NA
1.68090179683682e-09,0.603441921328817,0.651,0.286,2.6699444140956e-05,"Abhd6",NA,NA
2.2985234264669e-09,0.549338590990435,0.611,0.262,3.65097461060003e-05,"Knop1",NA,NA
2.99933844614878e-09,0.476149013582231,0.54,0.167,4.76414918786273e-05,"Map1lc3a",NA,NA
3.71222689141514e-09,0.539902778102505,0.984,0.881,5.89650119432381e-05,"Kcnk3",NA,NA
4.12681170618315e-09,0.504923002796039,0.778,0.421,6.55502771410131e-05,"Itpr2",NA,NA
4.32453748000102e-09,0.65061054295667,0.635,0.278,6.86909533323362e-05,"Cyth3",NA,NA
4.33424510819884e-09,0.453365617937943,0.31,0.032,6.88451492986303e-05,"Cadps2",NA,NA
5.35869920299036e-09,0.666465285464654,0.929,0.73,8.51175781402988e-05,"Fads2",NA,NA
5.65660487428511e-09,0.491388385408958,0.397,0.087,8.98495118231447e-05,"Wasf3",NA,NA
5.97032585688878e-09,0.743568328990453,0.77,0.484,9.48326559108215e-05,"Gulp1",NA,NA
6.76705033305761e-09,0.497905766451933,0.5,0.167,0.000107487827490287,"Tmem53",NA,NA
6.83647352461202e-09,0.40156126702238,0.992,0.984,0.000108590545464937,"Luc7l2",NA,NA
7.04451462842096e-09,0.584962500721156,0.54,0.222,0.000111895070357838,"Mapk13",NA,NA
9.82541387156083e-09,0.506411852299578,0.738,0.405,0.000156066873935872,"Wdfy2",NA,NA
1.11561759071942e-08,0.619552429885036,0.849,0.595,0.000177204698109873,"Itpr1",NA,NA
1.45828105267209e-08,0.503168409557509,0.246,0.008,0.000231633362406434,"Kcnb2",NA,NA
1.63844490467419e-08,0.440216062274841,0.722,0.365,0.000260250588658448,"Pcx",NA,NA
1.6603089086738e-08,0.383704292474052,0.262,0.016,0.000263723467053746,"Lypd6",NA,NA
1.77257850128252e-08,0.372477037050798,0.278,0.024,0.000281556369143715,"Zfp174","Zfp174",NA
1.86244620741589e-08,0.528378972354789,0.492,0.151,0.00029583095558594,"Nampt",NA,NA
1.98103327536259e-08,0.565597175854225,0.468,0.151,0.000314667325458594,"Col4a5",NA,"Col4a5"
2.0346558665218e-08,0.680382065799839,0.516,0.198,0.000323184737838322,"Ccdc174",NA,NA
2.13996176135092e-08,0.398163680714448,0.262,0.016,0.00033991152617298,"Gm11587",NA,NA
2.60763314589122e-08,0.683300419914449,0.802,0.579,0.000414196448893362,"Ptprg",NA,NA
2.75381708298406e-08,0.503168409557509,0.238,0.008,0.000437416305461189,"Nrep",NA,NA
2.82190967278472e-08,0.395019605701886,0.238,0.008,0.000448232132425126,"6030407O03Rik",NA,NA
2.8419224514076e-08,0.360043467458912,0.238,0.008,0.000451410962181582,"Neb",NA,NA
3.02845579842784e-08,0.62663168002223,0.659,0.365,0.000481039919022279,"Hdac4",NA,NA
3.21914498163872e-08,0.517058436219352,0.778,0.397,0.000511328988883495,"Ndst1",NA,NA
3.79255750867581e-08,0.612976876890753,0.667,0.365,0.000602409834678066,"Nr5a1","Nr5a1",NA
3.84485103697463e-08,0.589066899053893,0.794,0.556,0.000610716138713051,"Jarid2",NA,NA
4.16990720017815e-08,0.366127898797897,0.333,0.056,0.000662348059676298,"Ttc21b",NA,NA
4.1997255148212e-08,0.559427408614019,0.317,0.056,0.000667084400774199,"Pag1",NA,NA
4.45044081756799e-08,0.376854305390956,0.317,0.048,0.000706908019462499,"Nat8f1",NA,NA
5.24854829089647e-08,0.539582597217147,0.643,0.302,0.000833679410525995,"4930581F22Rik",NA,NA
5.52622751481562e-08,0.610053481683987,0.881,0.746,0.000877785978453313,"Aopep",NA,NA
6.63691880174447e-08,0.464668267003444,0.476,0.167,0.00105420818246909,"Iqck",NA,NA
7.47560947278579e-08,0.597240830499593,0.492,0.175,0.00118742580865729,"Csrp2",NA,NA
7.51502087266477e-08,0.473123860364568,0.905,0.635,0.00119368591541407,"Hipk2",NA,NA
7.88473698168895e-08,0.289506617194985,0.206,0,0.00125241162217147,"Ajap1",NA,NA
8.02383190985694e-08,0.518785424116673,0.563,0.246,0.00127450546056168,"Amotl2",NA,NA
8.33286056587663e-08,0.466699619101337,0.429,0.135,0.00132359157228384,"Ephx1",NA,NA
8.48161940913103e-08,0.495631609176298,0.548,0.23,0.00134722042694637,"Lrrk2",NA,NA
1.02993664365868e-07,0.31761510201628,0.31,0.048,0.00163595136478744,"Krba1",NA,NA
1.10275556166978e-07,0.494471966773249,0.524,0.198,0.00175161693415628,"Syt14",NA,NA
1.13395835956394e-07,0.35889442124131,0.286,0.04,0.00180117945833136,"Aldh3b1",NA,NA
1.41946206646196e-07,0.468386923871778,0.421,0.127,0.00225467354636818,"Med12l",NA,NA
1.4287084125305e-07,0.628816790310584,0.73,0.5,0.00226936044246345,"Col4a3bp",NA,NA
1.66803024513381e-07,0.467778961350817,0.381,0.103,0.00264949924137055,"Gm47101",NA,NA
1.68772791699838e-07,0.544005826498298,0.278,0.04,0.00268078702336023,"Gm28382",NA,NA
1.9965791840731e-07,0.268703155920486,0.214,0.008,0.00317136637598172,"Gm16559",NA,NA
2.18982407190169e-07,0.45091453560744,0.373,0.103,0.00347831655580864,"Echdc3",NA,NA
2.29607292371488e-07,0.330916878114617,0.23,0.016,0.00364708223202872,"Rfk",NA,NA
2.6961898577178e-07,0.46358577863066,0.984,0.952,0.00428262796999895,"Nfia","Nfia",NA
2.84307468728808e-07,0.317340825391711,0.19,0,0.00451593983328838,"Gm15883",NA,NA
3.02592740092892e-07,0.548520504753096,0.381,0.103,0.00480638308363549,"Trp53inp1",NA,NA
3.14709189780987e-07,0.627142316213455,0.508,0.198,0.0049988407704812,"Dab2","Dab2",NA
3.23664886989859e-07,0.522521925945249,0.627,0.341,0.00514109306494692,"Ppp1cb",NA,NA
3.69672851179259e-07,0.403792742111221,0.524,0.214,0.00587188356813135,"Shb",NA,NA
4.15928836632462e-07,0.396352936013917,0.333,0.079,0.00660661364107003,"Gm16093",NA,NA
4.3964121381145e-07,0.506279151028678,0.476,0.198,0.00698326104018107,"Riok2",NA,NA
4.42833558411841e-07,0.285402218862248,0.222,0.016,0.00703396824181368,"Slc24a3",NA,NA
4.93934642563007e-07,0.513995979367012,0.81,0.54,0.00784565786247081,"Cpq",NA,NA
5.26001549632799e-07,0.270647589943669,0.183,0,0.00835500861436738,"Lrrn1",NA,NA
5.26032547153163e-07,0.289506617194985,0.183,0,0.00835550097898085,"Apoc1",NA,NA
5.35149601904669e-07,0.531664274561107,0.659,0.405,0.00850031627665376,"Rnf216",NA,NA
5.72988007584557e-07,0.401813804122679,0.333,0.079,0.0091013415124731,"Irf9","Irf9",NA
6.09311947105006e-07,0.357812630585894,0.317,0.071,0.00967831096781592,"1700110K17Rik",NA,NA
6.1219579189029e-07,0.528378972354789,0.476,0.19,0.00972411795838537,"Boc",NA,NA
6.36004373161197e-07,0.441075360180367,0.437,0.151,0.0101022934632924,"Asap2",NA,NA
6.77386378208865e-07,0.443918619265973,0.294,0.056,0.0107596052314696,"Axdnd1",NA,NA
7.32977032476891e-07,0.527931555684778,0.794,0.54,0.0116426071838629,"Dip2c",NA,NA
7.43903966055743e-07,0.487938046326291,0.548,0.262,0.0118161705968294,"Slc25a12",NA,NA
7.4847124102349e-07,0.458249566100143,0.738,0.476,0.0118887171924171,"Akap9",NA,NA
8.05927476178205e-07,0.375291320486087,0.349,0.095,0.0128013520316146,"D630024D03Rik",NA,NA
8.48726622264414e-07,0.399607458709238,0.333,0.079,0.0134811736680479,"Pclo",NA,NA
8.64205092825867e-07,0.466549023506448,0.992,0.984,0.0137270336944461,"Mbnl1",NA,NA
