"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_names","TF","sex"
4.6776667891715e-63,-2.7683783576116,0.521,0.99,7.43000592792001e-59,"Pde10a",NA,NA
6.32781920139476e-55,-1.79511377476587,0.726,0.981,1.00511080194954e-50,"Me1",NA,NA
4.71085155811392e-46,-1.29943795829361,0.795,0.99,7.48271661490815e-42,"Sox5","Sox5",NA
1.83390018469857e-40,-0.927289471704501,1,0.998,2.9129670533752e-36,"Mast4",NA,NA
5.92468510985726e-40,-1.19759606364282,0.856,0.988,9.41076982849726e-36,"Fdx1",NA,NA
3.15428233004033e-39,-1.4198864153319,0.274,0.864,5.01026205303606e-35,"Junb","Junb",NA
1.14977083636153e-38,-1.3382741491503,0.055,0.718,1.82629599647666e-34,"Sema5b",NA,NA
1.24474409865213e-37,-1.43797393966569,0.274,0.838,1.97715152629904e-33,"Optn",NA,NA
1.27615438916843e-37,-0.947887152662907,1,1,2.02704363175513e-33,"Cyp11a1",NA,NA
5.42668704989745e-37,-1.27725165726972,0.815,0.971,8.6197497100571e-33,"Abhd2",NA,NA
1.82683275958648e-35,-1.50608636837884,0.11,0.716,2.90174115532717e-31,"Btg2",NA,NA
7.97287052950803e-35,-1.06196428030332,0.692,0.971,1.26641075490706e-30,"Nr4a1","Nr4a1",NA
1.15443561438364e-34,-1.4055287751529,0.589,0.919,1.83370552988698e-30,"Acvr1",NA,NA
4.92702552118301e-34,-1.21479512806135,0.61,0.952,7.82608733784709e-30,"Efhd1",NA,NA
4.36888419438072e-33,-1.2251354177164,0.493,0.897,6.93953565435434e-29,"Greb1",NA,NA
4.42063042256889e-32,-1.27197366817765,0.212,0.754,7.02172936320843e-28,"Mapre2",NA,NA
6.37109020258507e-31,-1.43523643315275,0.301,0.807,1.01198396777861e-26,"Nr4a2","Nr4a2",NA
1.19507416492827e-29,-0.793444376497733,0.932,0.993,1.89825580357207e-25,"Msi2","Msi2",NA
6.84242064301695e-29,-1.17039647186766,0.151,0.687,1.08685009493681e-24,"Slc25a30",NA,NA
2.28287338398325e-28,-1.1176185895039,0.192,0.697,3.62611608311899e-24,"Pgm3",NA,NA
7.43943226817504e-28,-1.41138425769225,0.692,0.914,1.18167942147692e-23,"Akr1b7",NA,NA
3.16244169054321e-27,-1.31520572944598,0.527,0.862,5.02322238125883e-23,"Trank1",NA,NA
3.33240359471699e-27,-0.947030089324558,0.774,0.94,5.29318986984846e-23,"St3gal5",NA,NA
9.44446351196068e-27,-0.897317087552994,0.705,0.943,1.50015858423983e-22,"Cbx4",NA,NA
1.30665649521169e-26,-0.843782417978286,0,0.513,2.07549317699426e-22,"Eif2s3y",NA,"Eif2s3y"
7.19913967656924e-25,-0.944241381627726,0.938,0.993,1.14351134622626e-20,"Scarb1",NA,NA
1.51845318901843e-24,-1.0056708693416,0.685,0.931,2.41191104543687e-20,"Raph1",NA,NA
1.42457635882746e-23,-1.07111916120304,0.096,0.589,2.26279708836153e-19,"Pde4d",NA,NA
3.19981459914453e-23,-1.08094936457457,0.596,0.888,5.08258550928117e-19,"Frmd6",NA,NA
6.6968882067157e-22,-0.911524638075125,0.377,0.776,1.06373372275472e-17,"Gadd45b",NA,NA
9.67306500407363e-22,-0.981144565217698,0.37,0.757,1.53646964524706e-17,"Fmnl2",NA,NA
9.71194229465411e-22,-0.595215789577316,1,1,1.54264491408286e-17,"Star",NA,NA
3.15003051711692e-21,-1.31636778753611,0.589,0.826,5.00350847338851e-17,"Slc25a3",NA,NA
4.44217929149166e-21,-0.7555628174207,0.055,0.501,7.05595758660536e-17,"2010007H06Rik",NA,NA
2.27049508392538e-20,-0.787935855975415,0.733,0.921,3.60645439130707e-16,"Acly",NA,NA
6.86945038542143e-20,-0.990065262275541,0.589,0.831,1.09114349922034e-15,"Rgs2",NA,NA
